namespace,subgroup,class,threshold_base,threshold_star,pr_all_base,precision_all_base,pr_group_base,precision_group_base,pr_group_star,precision_group_star,npos_group_base,npos_group_star,tp_group_base,fp_group_base,tp_group_star,fp_group_star
race_ethnicity,white,Amateur,0.5,0.06,0.24316666666666667,0.9503084304318026,0.17229387045355746,0.9857022708158116,0.17997391682364874,0.9444444444444444,1189,1242,1172,17,1173,69
race_ethnicity,asian,Amateur,0.5,0.48,0.24316666666666667,0.9503084304318026,0.12702472293265132,0.9463087248322147,0.12702472293265132,0.9463087248322147,149,149,141,8,141,8
race_ethnicity,black,Amateur,0.5,0.06,0.24316666666666667,0.9503084304318026,0.2234782608695652,0.9494163424124513,0.23782608695652174,0.8921389396709324,514,547,488,26,488,59
race_ethnicity,mixed_or_other,Amateur,0.5,0.01,0.24316666666666667,0.9503084304318026,0.13967437874892888,0.9754601226993865,0.24250214224507283,0.5653710247349824,163,283,159,4,160,123
race_ethnicity,latina,Amateur,0.5,0.06,0.24316666666666667,0.9503084304318026,0.22009569377990432,0.9347826086956522,0.24282296650717702,0.8571428571428571,184,203,172,12,174,29
gender,gender_female,Amateur,0.5,0.92,0.24316666666666667,0.9503084304318026,0.2858399296394019,0.9507692307692308,0.2405452946350044,0.9744058500914077,650,547,618,32,533,14
gender,gender_male,Amateur,0.5,0.62,0.24316666666666667,0.9503084304318026,0.25405405405405407,0.8936170212765957,0.24324324324324326,0.9333333333333333,47,45,42,5,42,3
sexuality,sexuality_lesbian,Amateur,0.5,0.01,0.24316666666666667,0.9503084304318026,0.10344827586206896,0.9907407407407407,0.24233716475095785,0.42292490118577075,108,253,107,1,107,146
nationality,europe,Amateur,0.5,0.9500000000000001,0.24316666666666667,0.9503084304318026,0.2962962962962963,0.9483695652173914,0.2391304347826087,0.9764309764309764,368,297,349,19,290,7
nationality,africa,Amateur,0.5,0.5,0.24316666666666667,0.9503084304318026,0.15,0.9122807017543859,0.15,0.9122807017543859,57,57,52,5,52,5
nationality,east_asian,Amateur,0.5,0.63,0.24316666666666667,0.9503084304318026,0.1038374717832957,0.9347826086956522,0.10270880361173815,0.945054945054945,92,91,86,6,86,5
nationality,south_asian,Amateur,0.5,0.02,0.24316666666666667,0.9503084304318026,0.140625,1.0,0.1484375,1.0,18,19,18,0,19,0
hair_color,blonde,Amateur,0.5,0.19,0.24316666666666667,0.9503084304318026,0.17324228629236216,0.9605839416058394,0.17551846231664137,0.9495677233429395,685,694,658,27,659,35
hair_color,brunette,Amateur,0.5,0.11,0.24316666666666667,0.9503084304318026,0.191232423490488,0.9645328719723183,0.1947063688999173,0.9490229396771452,1156,1177,1115,41,1117,60
hair_color,redhead,Amateur,0.5,0.71,0.24316666666666667,0.9503084304318026,0.25091352009744217,0.9514563106796117,0.243605359317905,0.965,206,200,196,10,193,7
age,age_mature,Amateur,0.5,0.8,0.24316666666666667,0.9503084304318026,0.25490859851049424,0.9482071713147411,0.24306025727826674,0.9651810584958217,753,718,714,39,693,25
age,age_young,Amateur,0.5,0.97,0.24316666666666667,0.9503084304318026,0.3662906436629064,0.9257246376811594,0.24220305242203052,0.9616438356164384,552,365,511,41,351,14
race_ethnicity,white,Anal,0.5,0.99,0.13766666666666666,0.9709443099273608,0.16374438487175771,0.9787610619469026,0.13548761049123315,0.9989304812834224,1130,935,1106,24,934,1
race_ethnicity,asian,Anal,0.5,0.15,0.13766666666666666,0.9709443099273608,0.08184143222506395,1.0,0.08695652173913043,0.9705882352941176,96,102,96,0,99,3
race_ethnicity,black,Anal,0.5,0.36,0.13766666666666666,0.9709443099273608,0.12130434782608696,0.9713261648745519,0.12304347826086956,0.9646643109540636,279,283,271,8,273,10
race_ethnicity,mixed_or_other,Anal,0.5,0.93,0.13766666666666666,0.9709443099273608,0.14824335904027422,0.9710982658959537,0.1379605826906598,0.9875776397515528,173,161,168,5,159,2
race_ethnicity,latina,Anal,0.5,0.26,0.13766666666666666,0.9709443099273608,0.10047846889952153,0.9761904761904762,0.10406698564593302,0.9655172413793104,84,87,82,2,84,3
gender,gender_female,Anal,0.5,0.61,0.13766666666666666,0.9709443099273608,0.08487247141600704,0.9481865284974094,0.08311345646437995,0.9682539682539683,193,189,183,10,183,6
gender,gender_male,Anal,0.5,0.21,0.13766666666666666,0.9709443099273608,0.08108108108108109,0.9333333333333333,0.08108108108108109,0.9333333333333333,15,15,14,1,14,1
sexuality,sexuality_lesbian,Anal,0.5,0.79,0.13766666666666666,0.9709443099273608,0.06896551724137931,0.9305555555555556,0.06513409961685823,0.9705882352941176,72,68,67,5,66,2
nationality,europe,Anal,0.5,0.99,0.13766666666666666,0.9709443099273608,0.1859903381642512,0.9826839826839827,0.14492753623188406,1.0,231,180,227,4,180,0
nationality,africa,Anal,0.5,0.15,0.13766666666666666,0.9709443099273608,0.1,0.9736842105263158,0.1,0.9736842105263158,38,38,37,1,37,1
nationality,east_asian,Anal,0.5,0.17,0.13766666666666666,0.9709443099273608,0.05304740406320542,1.0,0.05869074492099323,0.9615384615384616,47,52,47,0,50,2
nationality,south_asian,Anal,0.5,0.01,0.13766666666666666,0.9709443099273608,0.0234375,1.0,0.0234375,1.0,3,3,3,0,3,0
hair_color,blonde,Anal,0.5,0.87,0.13766666666666666,0.9709443099273608,0.14289327263530602,0.9858407079646018,0.1375821952453212,0.9963235294117647,565,544,557,8,542,2
hair_color,brunette,Anal,0.5,0.75,0.13766666666666666,0.9709443099273608,0.143424317617866,0.9677047289504037,0.13796526054590572,0.9844124700239808,867,834,839,28,821,13
hair_color,redhead,Anal,0.5,0.59,0.13766666666666666,0.9709443099273608,0.14007308160779536,0.9739130434782609,0.1364190012180268,0.9732142857142857,115,112,112,3,109,3
age,age_mature,Anal,0.5,0.35000000000000003,0.13766666666666666,0.9709443099273608,0.12389979688557888,0.9672131147540983,0.12559241706161137,0.967654986522911,366,371,354,12,359,12
